BookAbbrev	Chapter:Verse	Annotation
Jb	9:6	Ittnou wiit waike cleane & vpright, he wil forthwith awake vnto. thee , and wilmake the habitation of thy iuftice peaceabie: 7. In fo. inueh, that if thy former things haue been litle , thy later things may be multiplred exceedingly. 8. For aske the old generation , and fearch di- ligently the memoric of the fathers (9. For we are but as yefterday, &. are ignorant («) that our dares vpon the earth are asa ihadow, ) 10..And ' (e) Euen this they thal teach thee : they thal fpeaketo thee , and from their hart thal \Heretikes imnae vtter words, 11. Can the ruth be green without moyiture 3 or a feggie gine catholikes: aa ae 7 to be ignorant place grow without water? 12. Whenit is yet in nis Hlowre , and is not therfore ft plucked with the hand, ic withereth before al hearbs: 13. Eues fo the their mouthe a waies of al, that forget God, and the hope of the hypocrite thal perth: books with»
Jb	9:10	Twethings only doe not co me,ai.d then inal not be hid tren: thy. face:2 KMake thy hand far from me,and let not thy feare terrific me, 32.. Cal me,and:l wikanfwer thee:or ele. I wil} peake,,and toe thew aniwer me.25:Howgreat iniquitiesand finnes.1 have, my. wicked reas an 7 offences(a)ihewethou.me.2 4.Why nideft thou thy face,.as t in ‘ ‘me thine enemy 2.25.Agaialt che leafe, that is violently taken witht © wind , thoutheweltrhy might,and periccuteft drie ttuble, 26. For thou icett bicterncs againitme,and wiltconfuine me withthe finnes.of my vouch, 7.Thou hait put my teete ache itocks,aud hait obfcruedabimny youtia,2 paths, --- PAGE 991 --- OF IOB. 963 to be coalumed and as a garment, that is eaten of the moth, widence towards him : 7. profefferh vu belicfe of the Refarredion. plenifhed with many miferies. 2, Whoas a flowre cO- meth forth and is deftroyed , and fycth as a fhadow, and neuer abiderh in che fame ftate, 3. And doeft chou cwunt ita worthy thing to open thinceies vpon fuch ¥ an one,and ro bring -him with thee into iudgement?
Jb	9:11	Angels come to me, I shal not see him: if he depart, I shal not vaderstand.
Jb	9:13	Hold your peacea litle while , that may fpeake whatfoeuer my ininde thal prompt me.14..(b) Why doe I teare my flefh witi my tecth, and carie my: foule in my hands2 15. Although he thal-k:I me, I wil (6) cruft in him:but yet witreproue my waies io his fight.16..And he thal. be my fauiou®sfor no hypocrite ihal. come imhis fight. 17. Heare ye my word, and receiue the ob{cure fayings.with your cares, 1d. It] wal be iudged,(¢}1 Know-+thae I thal be. fourd iuft. 19. Whar is he that wil be judged with meer him come:why.am I coufumed holding my peace?
Jb	9:14	His folie fhal not pleafe him, and his confidence as the fpiders web. things thar are
Jb	9:15	, andit thal not rife : 16. He feemeth moyftned betore the funne come, & tmuch falshood! in his rifing his bloflome thal goe farth. 17. Vpon a heape of rocks his fophiflically. roots thal be thicke, and among {tones he inal abide, 18. It he {wallow applying ene him vp out of his place, he wil denie him , and wil fay: I know thee truth againlt not, 19. For this is che toy ot his way. that others may {pring againe of cnotict, being the earth. 20. God wii not reiect the imple, nor reach his band to the es malignant, 21. Vntil thy mouth be filled with laughter, & thy. lips with oie jubilation, 22. They tiat hate thee, ihal be clothed with contuhionsand jig culties. the tabernacle of thc impious ial not ftand, Liiait CHAP.:  (a) Tobhere jgranceth that ly faid by.bis aphetrue do- defendeth his icie aud int dcrime, yet he would noc: herin: icfifie jwhich was tru- va one fora thoufand. 4. He iswife of hart , and {trong jaduerfar tesand of force : whovhath refifted him , and hath had peace? hedid wrong & -§.“Hethat tranfported mountaynes , and they whom he rine againtt him,and fo ttl lowne innocen-: afeale : 8: He that alone {preadeth the heauen, & goeth vpon the waues iquarel, : theinner parts‘of the fouth, 10. He tliat doth greatchings andincompre- “henfible ,-and merueilous, ot the which there.is no number. a1. It be {b) “Angels (cometome, I thal not-fee him :it he depart, Tihal nor vaderitand. 12. moue the fphe- If fodently he aske, whothal anfwer him? or who can fay : Why doett res of heauen, ' thou fo? 13. God whofewrath no mau can tefilt, and vnder whom they (4) EuenfoS. ftoop that (&} carie the world. 14. How great am Ithen, that 1 ma past sthough -anfwerhim , and fpeake in my words.with hin? 15. Who although I Agutitte: areon- : {fcience of any: th'mfclf-a Cong. 958 THE BOOK [LOW_CONFIDENCE]
Jb	9:22	Indeed I know itis‘ fo, and thacmanis not iuftified compared with God. : [LOW_CONFIDENCE]
Jb	9:34	This is an affured true assertion, that God afflicteth both good & evil in this life.
Jb	9:35	He crieth on mans part, and hope in God, doe wel consist together. So both presumption and desperation are avoided.
Jb	10:3	Although. thou conceale thefe things in thy hart , -yet know that: ‘ thouremembreft ab.chings. 14. [f 1 haue finned and thou belt {pared.me tor an houre: why doef tnou not fufter me to be cleanetrom mine ints “quitie? ts. And if I thal be impious woe is to me :.and ir iult,] inal not lit vp my head, filled with affliction and milerie,16. Aud tor pride as- ia lio.-effe thou.wilt rake me, andreturnivg thou docit- meruclouily Lor- ment me.17.T hou reneweft thy witnefles againft me, 6 muitiplicit thy ‘i a 9. Why daait thou wrath toward me,aid paynes doe warre ypon me, I ‘ y hale ao ‘bring me.torth out of the matrice ¢ Who would God , [ had: been cou- fumed wathed as it were with {now-wacters,& - acither I wil anfwer a man. 4 (a ) HoliéIob knowing itto be vnpeiiible that God.-cas lumniaceths. anie man, ine quircth what is the canfe why his gogd- nes atfli<terch the iutt.- 5 IntharTam thy creature. thou maift: initly deftroy me-but ine 4 deed becatife Lt. am thy, <rca- ture thou wile fpareme: 1 . through thy mercy , giving). . Dte thy pracg, which af Livte welthoa wre aifo giue me. erernaL rci{t, .. --- PAGE 988 --- (¢} Repentance ‘eeffarie, but imoft cfpecielly at the hourc of death, The third con- 4 Aid, (2) Sophar might haue applied the vice of much fpeakine to himfelf & his felowes , al- lead ging ma- nic ‘things which proued not their opi- Jnion, wheras Tobs allega~ tions proued direMly that which he affir- imed. (blobs owne confcicnce affirmed the contraric.ch.é, Vv. 3. (¢} He could feffe iniquitie which he had 4net comanuit- ted, 960 4s alwayes ne- { qnociuftly con- TUE BOOK i famed, that eye might nar fee me, 39, had been as if 1 were not,caried fromthe wambe to the graue. 20. Shal not the fewnes of m ie ended fhortly ?{uffer me (c) therfore ,that] may a litle lament my forow: : 21, Before! goe, and returne not, vnto the darke land , thatis ' couered with the milt of death ; 22, A land of miferie and darkenefle, . where isthe fhadow of death, and no order , but cucrlaliing horrour inhabiceth,
Jb	10:5	my finne? 7. An } thow may {t kmow that 1 haue done no impious thtag ,. wicreas there is no man that can deliver out of thy hand. 3, (b) Toy hands haue made me, etramed me wholly-round-about, & doft thou fo fodainlte cait me downe headlong? 9.Remember I befeech thee that as clay thou madelt me ,& into-duft thou wilt bring me agayne.10,Hait thou not as milke: ' milked me,and curded meas checle 711. Wich skinne & flcin throu halt clothed me :.with bones anil tinowes:thou haft compacted me, 1 2. Lite i and mercic chou haft giuento me, and thy vifitatiG daath kept my {pirits
Jb	10:13	and thou belt {pared.me tor an houre: why doef tnou not fufter me to be cleanetrom mine ints “quitie? ts. And if I thal be impious woe is to me :.and ir iult,] inal not lit vp my head, filled with affliction and milerie,16. Aud tor pride as- ia lio.-effe thou.wilt rake me, andreturnivg thou docit- meruclouily Lor- ment me.17.T hou reneweft thy witnefles againft me, 6 muitiplicit thy ‘i a 9. Why daait thou wrath toward me,aid paynes doe warre ypon me, I ‘ y hale ao ‘bring me.torth out of the matrice ¢ Who would God , [ had: been cou- fumed wathed as it were with {now-wacters,& - acither I wil anfwer a man. 4 (a ) HoliéIob knowing itto be vnpeiiible that God.-cas lumniaceths. anie man, ine quircth what is the canfe why his gogd- nes atfli<terch the iutt.- 5 IntharTam thy creature. thou maift: initly deftroy me-but ine 4 deed becatife Lt. am thy, <rca- ture thou wile fpareme: 1 . through thy mercy , giving). . Dte thy pracg, which af Livte welthoa wre aifo giue me. erernaL rci{t, ..  (¢} Repentance ‘eeffarie, but imoft cfpecielly at the hourc of death, The third con- 4 Aid, (2) Sophar might haue applied the vice of much fpeakine to himfelf & his felowes , al- lead ging ma- nic ‘things which proued not their opi- Jnion, wheras Tobs allega~ tions proued direMly that which he affir- imed. (blobs owne confcicnce affirmed the contraric.ch.é, Vv. 3. (¢} He could feffe iniquitie which he had 4net comanuit- ted, 960 4s alwayes ne- { qnociuftly con- TUE BOOK i famed, that eye might nar fee me, 39, had been as if 1 were not,caried fromthe wambe to the graue. 20. Shal not the fewnes of m ie ended fhortly ?{uffer me (c) therfore ,that] may a litle lament my forow: : 21, Before! goe, and returne not, vnto the darke land , thatis ' couered with the milt of death ; 22, A land of miferie and darkenefle, . where isthe fhadow of death, and no order , but cucrlaliing horrour inhabiceth,
Jb	10:20	Repentance is alwayes necessarie, but most especially at the houre of death.
Jb	11:2	Sophar might haue applied the vice of much speaking to himselfe & his fellowes, alleadging manie things which proued not their opinion, wheras Iobs allegations proued directly that which he affirmed.
Jb	11:6	Iobs owne conscience affirmed the contrarie, ch. 6, v. 3.
Jb	11:15	He could not iustly confesse inquirie which he had not committed.
Jb	12:4	God suffereth his simple true-meaning seruants to be scorned for the time, but afterward the wicked shal be forced to concede, that those whom they decided are worthily in honour before God. S. ep. 5, v. 3.
Jb	12:17	Craftie plotters of deuises at last by Gods iust punishment commit so great absurdities, that the meanest may see their follie.
Jb	13:4	Iobs state of sinne or innocencie was best knowen to God,next to his owne conscience,not at all to his aduersaries,that professed to iudge of sinnes,that pre fissed to iudge thereof.
Jb	13:13	(b) Why doe I teare my flefh witi my tecth, and carie my: foule in my hands2 15. Although he thal-k:I me, I wil (6) cruft in him:but yet witreproue my waies io his fight.16..And he thal. be my fauiou®sfor no hypocrite ihal. come imhis fight. 17. Heare ye my word, and receiue the ob{cure fayings.with your cares, 1d. It] wal be iudged,(¢}1 Know-+thae I thal be. fourd iuft. 19. Whar is he that wil be judged with meer him come:why.am I coufumed holding my peace?
Jb	13:19	He denieth that he is guiltie in conscience,but defereth to know of God;if he haue anie hid sinnes which himselfe knoweth not.
Jb	13:20	let not thy feare terrific me, 32.. Cal me,and:l wikanfwer thee:or ele. I wil} peake,,and toe thew aniwer me.25:Howgreat iniquitiesand finnes.1 have, my. wicked reas an 7 offences(a)ihewethou.me.2 4.Why nideft thou thy face,.as t in ‘ ‘me thine enemy 2.25.Agaialt che leafe, that is violently taken witht © wind , thoutheweltrhy might,and periccuteft drie ttuble, 26. For thou icett bicterncs againitme,and wiltconfuine me withthe finnes.of my vouch, 7.Thou hait put my teete ache itocks,aud hait obfcruedabimny youtia,2 paths,  OF IOB. 963 to be coalumed and as a garment, that is eaten of the moth, widence towards him : 7. profefferh vu belicfe of the Refarredion. plenifhed with many miferies. 2, Whoas a flowre cO- meth forth and is deftroyed , and fycth as a fhadow, and neuer abiderh in che fame ftate, 3. And doeft chou cwunt ita worthy thing to open thinceies vpon fuch ¥ an one,and ro bring -him with thee into iudgement?
Jb	14:1	Al children taking their substance from the mother, and hauing only a temporal life continually tending to death, can not but be subiect to manie miseries: For time it-selfe though it may seeme long, is a limited thing, and is very short, yea hath no proportion in respect of eternitie,which is infinite: yet God hath care to bring this weake creature to life-eternal.
Jb	14:4	The dates of man arefhort, and the num- ber of his months is with thee , thou haft appointed his limits which day wiihed tor come , euenas the hyred man’s. 7. A tree hath hope : it it be cut,it waxeth green againe , and che boughs thereof fpring. 8, If his roote be old inthe earth, and che rrunke theref be dead in che duft, g. Atthe fent of water it ihal fpring, and bring forth leaues , as when it was firft planted, .o. Bart when man inal be dead, and naked, and confumed , where is ‘he I pray ? 11. Asif the waters should depart out of thefea, and a riuer made emptie tnould be dried vp.12. So man when he is afleep thal noc cife agayne, til heauen perith , he thal not awake , nor rife vp out of his tleep, 13. Who wil grant me this , thacin hel thou protect me, and hide metil thy-turie paile , and Ippoyt me auime, wheri.s thou walt remember me? 14, Shad nan thae isdead., thinkeft thou , ue agayne? al the dates, in which am-now ia wartare, expect vntil] my change doc come. 15. Thowinaltcul me,and I inal anfwer thee ; tothe workc of thy hands thou iualtreach thy right hand.16. Thou indeed hait numbred my tteps : but thou wut {pare my finnes.17. Thou haft fealed my offences as it were in a bag, but naftcu ' red mine iniquitic, 18. A mouncaine falling {lideth downe,and a rock is: reanoucd-out ot his place. 19, Waters make itones holow, and witn inundation the earth-by litle and litle is confiumed : and men therfore thou hale deftroyin like manuer.29, Thou halt ttrengtined him aide, that he might pafle away tor euer ; thou hale change histace,, and ihal: fend him forth, 21. Whether his-children {hal be noble,or vnnuble, he 6) thal not vnderftand, 22. Bur yet his fle:a whiles he sal live. inai ' haueforow and his foule inal mourue vpon himflé CHAP ‘paths, and halt confidered the {teps of my tecte.28. Who as rottenes am Againe Tob defcribeth the miferies of mans life. 3. Newertheles Geds great pro- AN borne of (4) woman, lining a fhort time , is re- cannot be paffed. 6. Depart a litle from him, that he may reft,vncil bis (a) Al children taking their fubftance from the mother, and hauing only a tem- poral life can- Cinually ren- iding co death, j¢an not-burbe fubtect to mame mife- ties: For time it-felfe.chough jit may feeme ong ais alim- ted thing,and ly very thort, yea hatch no Proportion ir irefpect of eter- init-e,which is infinite: yee God hath care to bring this -{weake creature to lifc-etesnal, res after death are nura‘fli- ‘ted with the tare of their children as hey bein this ite, j (6) Theparen!  964, The fourth VT Eliphsz the Themanite an{wering , fayd: 2. Wil a ] Eliphaiznot 2 g wile naan aalwer as it were {peaking into the wird. and fil blé to anfver!: © =) hisdtomack with, buening ? 3- Thou (4) reproueft htm in. obs“folide 4 3 AR words, that is not equal ro thee, & fpeakeft that which 1 cafons,railetty ¢ << not expedient forthee. 4, Asmuch asis in thee » thou haf fl hemes eaacuated teare , and haft taken away prayers before God, 5. For thine taus20 Ged, quitie hath taught thy mouth ,and thoudoctt imitarethe tongueot ec taught. ‘ blafphemers,6, Thiac owne mouthihal condemne thee and not ls and. jothers toca thy lippes thal anfwerthee. 7, Wait thou the firit nan borne , aud for away feare, (b) Leis a very lware prrutle ‘tobe wathour § Ot. E( ¢)-But fpotoF wvenial fanes. - jmay bein aiut mab, h(a. Al thefe miiferies are fincident tothe twicked,but are jfal fy applicd holy Tet, pena mdecd was iult, binder it.2. Why doth chy hare cleuate thee, & t THE BQOK
Jb	14:21	The prementres after death are not afflicted with the tare of their children as they be in this life.
Jb	15:1	Eliphaz not able to answere Iobs solide reasons,raileth against him, as he was rious to God, or taught others to cast away feare.
Jb	15:12	It is a very rare priuiledge to be without spot.
Jb	15:14	But spot of veniall sinnes may be in a iust man.
Jb	15:20	Al these miseries are incident to the wicked,but are falsly applied to holy Iob, who indeed was iust.
Jb	16:2	True and freindlie comforters ought to heare the afflicted with patience, & not vnmercifully charge him with crimes, which they neither know, nor his conscience is guiltie of.
Jb	16:10	A great affliction, when one ful of paine & distresse is also forced to defend his owne innocencie against ca. lumniators.
Jb	16:12	I fometime chat welthie-one fo- dainly am broken: he hath held my necke, broken me, and fetme to {y, himfelf as it were a marke. 14. He hath compaiffed me with his fpea- ces, he hath wounded my loynes, he hath not {pared, and hath powred. out on the earth my bowels. 15. He hath cur me with wound vpon wound , he hath come violently vpon me as it were a giane. 16. I have fowed fackcloth vpon my shinne,and haue couered my ficth with athes,
Jb	16:17	APPROVED
Jb	16:18	As the aduersaries stil obiect great iniquitie to him, so he yealdeth them the fame true answere.
Jb	17:1	Not hauing committed such sinnes as he was charged withal,in this double bitternes of corporal paine & calumniation,his eye was stil vpon God,expecting to be deliuered.
Jb	17:13	This text sheweth euidently that there was a place of rest called hel.
Jb	18:1	Baldad perceiuing Iob to speake confidently as the common doctrine of manie, opposeth himselfe neuerthe les against him and al that thinke as he speaketh as to manie in the plural number, wil ye speake, & of himselfe & his felowes: are we reputed. &c. So holie Iob a figure of the Church defended the cause, his aduersaries a figure of heretikes speaking some truth mixed false things therwith. S.Greg.li. 14. c.t.
Jb	18:13	APPROVED
Jb	19:1	LOW_CONFIDENCE
Jb	19:4	my reproches.6.At), .caft now vnderftand ye,that God hath afflicted me (a)no: with equa! iudgem=nt,and hath compaffed me.with his {courges, 7, Behold I thal crie fuffering violence , and no man wil heare : I {hal crie out, and there is none toindge.S. He hath hedged my path round about and cannot paffe, and in my way hath put darke- nefie. 9, He hath {poiled me of my glorie, and hath taken the crowne from my head. ‘wo. He hath deftroved me on eueri¢ fide, and I perish, and as itwereifrom atree plucked hath he taken away my hope. x1, His furie is wrath againit me, and he hath fo accounted meas his ene- mic, 12. His feriants haue come together, and haue made themfelues a way by me,andhaue belieged my tabernacle round about, 13. He hath made mvy-brethren far from mre, and my acquinzance as ftrangers haue departed froin me, 14, My kinfemen haue torfaken me, and they chat Kyew me haucforgotten me. ts. The ghefts of my houfe,and my mayd- fernants haue counted me an alien , and] haue been as it were a firan- ger in their cies. 16.1 cailed my feruant,and he did not anfwerme,with mine ow.ie mouth 1 be(ought him. 17. My wite hath abhorred my breath,and 1 prayed the children of my wombc. 18.Fooles allodefpifed me, and when was departed trom them, they backbircd me.1,. My counfclers fometime haue abhorred me : & he (¢) whom I loued moft hath turned againft me. 20. The fleth being confumed , my bone hath ReCurre@ion, Cleaued to myskianc , and there are ieft onite lippes about my teeth,
Jb	19:13	Al refused made holie Iob in his affliction, euen those whom he had loued most who therfore ought most to haue loued him againe.
Jb	19:21	APPROVED
Jb	19:22	Rees e4 Ke The v 9. Heb. 4. ¥.7. t cA.  Mas. §, 7, 0%. Lh. Luc. 16, S.Gre, ens, the Pfalmodie of Dauid the common and moft plentiful flore-houfe of ai in Pfal. VPON THE PSALMES, 5 uine Pfalter,al Catholike Doctours vniformely agree thar it isthe abridgement,{irmme,and tubftance of al holie Scriptu- res, botholdandnew Tettament. As may firft be pronably collected,bythat Chriit himielfe often comprehéding al the old Teftament by the termes of the Law and Prophets,in one place.{ Luc. 24.7. 4.4-) feemeth not onlie tro reduce al to the Lavv and Prophets iointly but alfo tothe Pfaimes alone , or {eueral- ly. Bat whether this be our Saniours diuine meaning or noin} that place,out of this and manie other places , al the ancient] other holie Scriptures. For example,S.Denys,lide Eccle/, Hie- rar.contemplat.2.after brief recital ofthe contenrs of o:her ho- lie Scriprures, faith: This facred veoke of diuine Canticles doth exhibit both ageiseral fone , and expofttion of dinine things, S. Batti calleth facred do€trine,the treafure of perfe€t Theologie 3. Amproie accoun- rethit Lhe regifier of the vvhole Scripture Origé,S. Cyprin,S.lero- me,S.Chrytoi{tome,S.Gregorie,5.Beda,». Bernard,Caffiodo-~ rus, Butimius,and others vierhe fame,or very like rermes. 5. Auguftine particularly diftinguishing al the Scriptures into- foure forts of bookes, she weth rhat the Pialmes conteyneal: the Lavy (iaich he) teacherh fome things , the Hiftorie fome things, the Prowerbes alfo and Prophets teach fome things:bur the Booke of Pfal- mes teacheth al. It propofeth the la-y-v,recounteth things of old,pre{cribeth the due ordering of mens attios and prophecieth things to come. Briefly it 1s acommontreafure of good doctrine aptly adminiftring that is necefJa- rietoewericone. And a litle after, exemplifying in particular points: Zs nor here (faith he ) al greatnes of ~vertue, and is not here the right {quare of inflice ° 1s nor the comlines of chaftitie,the confummation of prudence,ts not v-vhatfoewer may be called good,learned in the Pfa:mes? Here is the kno-v-ylege of God,the cleare pronunciation of Chrift to come in fiesh the-hope of general Refurrection.feare of rorments,promife of 2lo- rie renclation of myfleries, Euen al good things ave here . asin a common ereat treafure laid vp and heaped together, See then and obferue here ( Chriftian reader ) the admira- Fathers teach exprefly,that the Pialmes are an Epitome of alt Gods proui- dence in of al other dcriptuies. They cdreine the fumme of Legal, Hiltori cal,Sapiential, and Prophe- tical doctrine. ble wifdome and goodnes of God. The meanes of mans {a- luation-being to difpofed , that his owne free confent and: cooperation.is thesto neceffarily required, according tothar: 1 A 5 2 (wietly dravy- ¢ ration of free- = Ge: : : ~* iveilawhich is molt approued doctrine of the lame s. Auguftine: Qui creauit te neceflanie to iLaluation. } pg oul con- ent & coope-  lreafealed booke. the key of o- ther Scriptu- res. Buc it felfis alfo fealed. icipal key of icach Pfalme. Ten keves Holie Scriptu- Whole facred Bible is 4fealed Booke,and notrightly vnderftood, til rhe feale, or lock beopened, by the key ot Gods {pirit, gi 17 The Pfalreris Borie norethin holie Scripture ( 4. Reg. 3. v.15.) where Eli- Bat one pr'n- divers perfons that {peake,to diners ends and purpofes, For.albeit- divers my fteries are fometimes conneded, and-forequire -fundrie] ofthe Pfalter. bane obferucd ten general points,or feueral matrers,to which eee 6 PROEMIAL ANNOTATIONS Ifenete , non inftificat te fine te. He that created thee vvithout thee,dorh not iuftifie thee vvithout thee : to helpe.our weaknes ,and {weetly to draw our mindes, otherwife auerfe from rravel and paine, the Holie Ghoft hath ordained that in {tnal roome, and in! pleafant manner, we may attaine neceflarie knowledge of ‘God, & our felues, eafily keepe the famein memorie, and dayly put in practife our chicfeft dutie,in feruing and praifing God,by finging , reading , or hearing thefe diuine Pfalmes. W hich one book (as euerie one shal be able to learneit, more or leffe perfectly) openethand sheweth the way to wnderftad al other Scriptures,and.fo to find, & enioy the hiddé treafures ‘of Gods word,in like manner asa key openetha lock.For the uing knowledge; whicathe Holie Ghoft,amog ft other wayes, 'in{pireth very ofté by tacred Mutike or Plalmodie. As. $.Gre-! feus not yet kaowingGods.wil in aparticular cafe,called fora Pfalmift (or player on inftruments)and wvhe the Pfalmift fang, the hand of our Lord came ~ypon Elifeus,and presétly he prefcribing whar should be done , procured plentie of warer without rayne, where was none before, and prophecied vidtorie a- gainft the enimies. Reafon alloand experience teach, that as wnen of cheer ful hart are apt to fing, {othe exercife of reading, fin- ging,or playing Pfalmes , isa conuenientand a {pecial mea- fes,to attaine quiernes or cheerfulnes of: mind. But as this holie Pfalreris the key.ofother Scriptures, fo it- felfe is moft efpecially a fealed, andlocked Booke , requiring Manie keyes. Euerte Pfalme ( faith S. Hilarie) hath a peculiar key, ‘and ofierimes there be fomanie lockes and keyes of one Pfalme,as there be key es, yet there is bur one principal & proper key of each Pfal- me:otherwife ir should be diuided into manie Pfalmes. Our fir A endeauour therfore muft be,to find the proper key of eue- ty Pfalme, that is,to know what is principally therein cétey- ned. Tothis purpofe the learned Expofitours of this booke, al the contents inay be reduced,asit were,fo manic keyes,and meanes  VPON THE PSALMES, 7 imeanes of entrance into the lenle,and true vnderitading ora! the Pal. Andthe fame may hkewile be called the ten tirings requireth, for more melodious harmonie and periect mutike. The firlt key or ftring is God himfelf , One in Sudftance, and Gouerning of the whole world. The third , Gods Proui- jone among ft them, with their ingratitude, reie@ion,and re- feuenthisthe true manner of feruing God, with fincere fairh nie things concerning himfelfe. As Gods fingular benefits & bodienamely by Saul, Abfalo,and others humbly befeeh- ingand obtaining Gods protection. He allo expreffeth in him(elfe a perfect image and patterne ofa fincere and hartie penitent: be wayling,confefling and punishing his owne fin- ines. The ninth is the end and renouarion of this world , with the general Refurrection , and ludgement. The tenth is eter- nal telicitie, and punishment, according as everie one defer- ueth in this life. Thete are the cen keyes of this holie Booke; and ten ftrings of this Diuine Pualrer. Moreouer to find which of the/e is the proper key and prin- cipal {tring of euzrie Pialme , learned Diuines v(e foure efpe- A 4 of this diaine inftrument. Vpon one ot which, euery Pfalme principally playeth, touching the reft more or leffe, as caufe Three in Perfons , Almightie, Al-perfect, Power, Wildome, Goodnes, Maieftie, luftice, Mercie, & other Divine Arrribu- tes. The fecond is Gods workes of Creation, Conferuation, dence, efpecially cowards man , in protecting and rewarding he iaft,in permitting and punishing the wicked. The fourth, is the peculiar calling ofthe Hebrew people, their beginning lin Abraha,Ifaac and Lacob:their maruelous increaiein A- 2ypt: divers eftates,manie admirable and miraculous things probation. The fifth principal key and ftring is Chrift, the promifed Redeemer of mankind : prophecying his Incarna- jiion, Natiuitie, Trauels, Sufferings , Death, Refurrection, jAfcenfion, and Glorie, The fixt is the propagation of Chrifts name and Religion, with Sacrifice and Sacramnts , in the multitude of Gentiles belieuing in him,euen ro the vitermoft coafts of the earth: the Catholike Church euer vifible. The and good woikes. The eight, holie Dauidinterpoiech ma- towards him, forwhich he rendreththankes and divine prai- {es, recounteth his enimies, dangers, and afflictions of mind —, everie pfalme. cial P Alloter ttrings, [LOW_CONFIDENCE]
Jb	19:25	An expresse profession of his faith of the Resurrection.
Jb	20:5	Al mans life is short & as a moment in comparison of eternitie; but it is not alwayes true that the wicked are shortly punished in re spect of this life, as this disputer applieth it to proue Iob to be impious.
Jb	20:18	Therefore Iob answereth in the next chap. v. 13. That ordinarily the wicked lead their dayes in their whole life in wealth & (then) in a mon‡ goe downe to hel. So the rest of these mens assertions are for most part true in some sense, but il applied.
Jb	21:4	Though he disputed with three men, yet it was concerning diuine things not humane, but of Gods prouidence, and iustice, of the resurrection, of eternall life, and punishment.
Jb	21:13	The fame word is in Hebrew, Greek, & Latin, for hel, as in the 7. and 17. chap. & other places, which sheweth that besides hel of the damned the resting place also of holie fathers in the old Testament was called by the general name of hel;
Jb	21:14	Who sayd to God: Depart from vs.
Jb	22:3	Indeed when a iust man hath donne his duties, he is vnprofitable to God: but he is profitable to himselfe, which greatly pleaseth God, who desireth mans good, & it redoundeth to Gods glorie that he hath such seruants.
Jb	22:5	After imitation of false crimes, this disputer chargeth holie Iob also with heathenish errour of the Egyptians, that God hath no prouidence of men in this world. Aristotel. li. de mundo, textu. 84.
Jb	22:14	So some heretikes in their phrensie accuse Catholikes of condemned heresies.
Jb	23:1	Whiles he expected fome comfort of his freinds, they stil afflicted him more & more, charging him with false crimes & fo aggrauating his grief both of bodie and mind.
Jb	23:2	Therefore he appeareth to Gods iudgement feare for sentence.
Jb	24:1	Gods seruants know that he wil punish wickednes, but know not when the wicked presume, that he wil neuer punish them.
Jb	24:13	Heretikes do long and teaching against their owne knowledge, are afterward strucken with blindnes, that they can not see the truth. S. Greg. li. 16. c. 25
Jb	24:18	Sinners running into both extremes of defect and excesse, are like wise punished with contrarie tormentes.
Jb	24:24	Man by these precious & rare creatures, men ought to consider the Creatour, & so not set their rest in them, but in him, which is true wisdome.
Jb	25:1	Iob answered before, ch. 4. yet blind and obstinate disputers stil repeate the same objections.
Jb	25:4	Can man be iustified compared with God, or the borne of a woman appeare cleane?
Jb	26:1	Iob sheweth that neither God needeth mans helpe: Neither is Baldads prudence able to help, if there were neede.
Jb	26:5	Giants were not able to wade in Noes floud, but were drowned with the rest.
Jb	26:14	Not only great things before recited, but also the very least are made by God, and depend vpon his prouidcnce.
Jb	27:2	God would not as yet haue Iobs cause iudged, but referred the sentence, for his greater trial in patience.
Jb	27:4	It were a lie to acknowledge such sinnes as he had not committed.
Jb	27:19	Some part of Gods iudgement falleth on the wicked in this life, but especially at their death. Psal. 75.
Jb	28:1	By these more precious & rare creatures, men ought to consider the Creatour, & so not set their rest in them, but in him, which is true wisdome.
Jb	28:13	True wisdome is not in naturall things, but in supernaturall vertues.
Jb	28:28	When man hath considered, and prepared, and searched it, Behold the feare of our Lord, that is wisedom: and to depart from euil, vnderstanding.
Jb	29:1	Parables are not only similitudes of things, but also pithie and profound sentences, such as Iob, Salomon, and other wiseit men vttered.
Jb	29:24	This parti- cle as; impor- teeth not here a similitude, but rather that he was a very King or su- preme Prince, as hauing su- preme autho- ritie.
Jb	30:1	Men scarce fit to haue care of dogs deri- ded Iob in his affliction:so he was contemned of the most contemptible.
Jb	30:10	Our Sauiour also suffered this reproch, Mar.25.
Jb	30:23	Death is a comfort to a iust man in tri- bulation.
Jb	30:29	Like to such beasts as seeke solitary places to lament in.
Jb	31:1	Whereas here is a continuall warre betweene a chast mind and rebellious flesh, holy Iob made this con- dicion of truce betweene these enemies: that his eye should neuer giue oc- casion to car- nal concupis- cence.
Jb	31:26	By this de- mand he pro- uoked his ad- uersaries to produce what they could to conuince him of idolatrie or denying God, wherwith they indirectly charged him.
Jb	31:35	Iob dispu- ted no more with his freinds but afterward submitted him- self to God, ac- knowledging some vnadui- sed speach.
Jb	31:40	The words of Iob are ended.
Jb	32:1	The ninth conflict. This yong man wittie & learned, but proud withal, was a figure of the bore and arrogans dif- puters, who wil seeme to know more then their elders. S. Greg.l.23.c.1.
