book	chapter	verse	commentary
1Cor	11	28	But let a man prove himself, and so let him eat of the bread, and drink of the cup. What mean these words, when another object is proposed to us? This is Paul's custom, as also I said before, not only to treat of those things which he had proposed to himself, but also if an argument incidental to his purpose occur, to proceed upon this also with great diligence, and especially when it relates to very necessary and urgent matters. Thus, when he was discoursing with married persons, and the question about the servants fell in his way, he handled it very strenuously and at great length. Again, when he was speaking of the duty of not going to law before those courts, then also having fallen upon the admonition respecting covetousness, he discoursed at length concerning this subject likewise.
1Cor	12	1	Now concerning spiritual gifts, brethren, I would not have you ignorant. You know that when you were Gentiles, you were led away unto those dumb idols, howsoever ye might be led. This whole place is very obscure: but the obscurity is produced by our ignorance of the facts referred to and by their cessation, being such as then used to occur but now no longer take place. And why do they not happen now? Why look now, the cause too of the obscurity has produced us again another question: namely, why did they then happen, and now do so no more? This however let us defer to another time, but for the present let us state what things were occurring then. Well: what did happen then? Whoever was baptized he straightway spoke with tongues and not with tongues only, but many also prophesied, and some also performed many other wonderful works.
1Cor	12	12	For as the body is one, and has many members, and all the members of the body, being many, are one body; so also is Christ. After soothing them from the considerations that the thing given was of free favor; that they received all from one and the self-same Spirit; that it was given to profit withal, that even by the lesser gifts a manifestation was made; and withal having also stopped their mouth from the duty of yielding to the authority of the Spirit: (for all these, says he, works the one and the same Spirit, dividing to each one severally even as he will; wherefore it is not right to be over-curious:) he proceeds now to soothe them in like manner from another common example, and betakes himself to nature itself, as was his use to do.
1Cor	12	21	Having checked the envy of those in lower rank, and having taken off the dejection which it was likely that they would feel from greater gifts having been vouchsafed to others, he humbles also the pride of these latter who had received the greater gifts. He had done the same indeed in his discourse also with the former. For the statement that it was a gift and not an achievement was intended to declare this. But now he does it again even more vehemently, dwelling on the same image. For from the body in what follows, and from the unity thence arising, he proceeds to the actual comparison of the members, a thing on which they were especially seeking to be instructed.
1Cor	12	27	For lest any should say, What is the example of the body to us? Since the body is a slave to nature but our good deeds are of choice; he applies it to our own concerns; and to signify that we ought to have the same concord of design as they have from nature, he says, Now you are the body of Christ. But if our body ought not to be divided, much less the body of Christ, and so much less as grace is more powerful than nature. But what is the expression, severally? So far at least as appertains to you; and so far as naturally a part should be built up from you.
1Cor	13	4	Thus, whereas he had showed, that both faith and knowledge and prophecy and tongues and gifts and healing and a perfect life and martyrdom, if love be absent, are no great advantage; of necessity he next makes an outline of its matchless beauty, adorning its image with the parts of virtue as with a sort of colors, and putting together all its members with exactness. But do not thou hastily pass by, beloved, the things spoken, but examine each one of them with much care, that you may know both the treasure which is in the thing and the art of the painter. Consider, for example, from what point he at once began, and what he set first, as the cause of all its excellence. And what is this? Long-suffering. This is the root of all self-denial.
1Cor	13	8	But whether there be prophecies, they shall be done away; whether there be tongues, they shall cease; whether there be knowledge, it shall be done away. Having shown the excellency of love from its being requisite both to the spiritual gifts, and to the virtues of life; and from rehearsal of all its good qualities, and by showing it to be the foundation of exact self-denial; from another, a third head, again he points out its worth.
1Cor	14	1	Follow after love, yet desire earnestly spiritual gifts; but rather that you may prophesy. Thus, inasmuch as he had with exactness rehearsed unto them all the excellence of love, he exhorts them in what follows, with alacrity to lay hold of it. Wherefore also he said, Follow after: for he that is in chase beholds that only which is chased, and towards that he strains himself, and leaves not off until he lay hold of it. He that is in chase, when by himself he cannot, by those that are before him he does overtake the fugitive, beseeching those who are near with much eagerness to seize and keep it so seized for him until he shall come up. This then let us also do.
1Cor	14	20	Brethren, be not children in mind; howbeit in malice be ye babes, but in mind be men. As might be expected, after his long argument and demonstration he adopts a more vehement style and abundance of rebuke; and mentions an example suited to the subject. For children too are wont to gape after trifles and to be fluttered, but of things very great they have not so much admiration. Since then these also having the gift of tongues, which was the lowest of all, thought they had the whole; therefore he says, Be not children, i.e., be not without understanding where ye ought to be considerate, but there be ye childlike and simple, where unrighteousness is, where vain-glory, where pride. For he that is a babe in wickedness ought also to be wise.
1Cor	14	34	Let your women keep silence in the churches: for it is not permitted unto them to speak; but let them be in subjection, as also says the law. Having abated the disturbance both from the tongues and from the prophesyings; and having made a law to prevent confusion, that they who speak with tongues should do this in turn, and that they who prophesy should be silent when another begins; he next in course proceeds to the disorder which arose from the women, cutting off their unseasonable boldness of speech: and that very opportunely. For if to them that have the gifts it is not permitted to speak inconsiderately, nor when they will, and this, though they be moved by the Spirit; much less to those women who prate idly and to no purpose.
1Cor	15	1	Now I make known unto you, brethren, the gospel which I preached unto you, which also ye received, wherein also ye stand; by which also you are saved: in what words I preached it unto you. Having finished the discourse of spiritual gifts, he passes to that which is of all most necessary, the subject of the resurrection. For in this too they were greatly unsound. And as in men's bodies, when the fever lays actual hold of their solid parts, I mean the nerves and the veins and the primary elements, the mischief becomes incurable unless it receive much attention; just so at that time also it was like to happen. Since to the very elements of godliness the mischief was proceeding. Wherefore also Paul uses great earnestness.
1Cor	15	11	Having exalted the Apostles and abased himself, then again having exalted himself above them that he might make out an equality: (for he did effect an equality, when he showed that he had advantages over them as well as they over him,) and having thereby proved himself worthy of credit; neither so does he dismiss them, but again ranks himself with them, pointing out their concord in Christ. Nevertheless he does it not so as that he should seem to have been tacked on to them, but as himself also to appear in the same rank. For so it was profitable for the Gospel. Wherefore also he was equally earnest, on the one hand, that he might not seem to overlook them; on the other, that he might not be on account of the honor paid to them held cheap by those that were under his authority.
1Cor	15	29	Else what shall they do which are baptized for the dead? If the dead are not raised at all, why then are they baptized for the dead? He takes in hand again another topic, establishing what he said at one time from what God does , and at another from the very things which they practice. And this also is no small plea for the defense of any cause when a man brings forward the gainsayers themselves as witnessing by their own actions what he affirms.
1Cor	15	35	But some one will say, How are the dead raised? And with what manner of body do they come? Thou foolish one, that which you yourself sowest is not quickened, except it die. Gentle and lowly as the apostle is to a great degree every where, he here adopts a style rather pungent, because of the impiety of the gainsayers. He is not however content with this, but he also employs reasons and examples, subduing thereby even the very contentious. And above he says, Since by man came death, by man came also the resurrection of the dead; but here he solves an objection brought in by the Gentiles.
1Cor	15	47	Having said that the natural was first, and the spiritual afterward, he again states another difference, speaking of the earthy and the heavenly. For the first difference was between the present life and that which is to come: but this between that before grace and that after grace. And he stated it with a view to the most excellent way of life, saying -(for to hinder men, as I said, from such confidence in the resurrection as would make them neglectful of their practice and of perfection, from this topic also again he renders them anxious and exhorts to virtue, saying,)- The first man is of the earth, earthy; the second man is the Lord from heaven: calling the whole by the name of man , and naming the one from the better, and the other from the worst part. 1 Corinthians 15:48
1Cor	16	1	Now concerning the collection for the saints, as I gave order to the Churches of Galatia, so also do ye. Having completed his discourse concerning doctrines, and being about to enter upon that which belongs rather to morals, he dismisses every thing else and proceeds to the chief of good things, discoursing about alms. Nor does he discuss morals in general, but when he has treated of this matter alone, he leaves off. A thing however obviously unlike what he did every where else; for of alms and of temperance and of meekness and of long-suffering and of all the rest, he treats in the other Epistles in the conclusion.
1Cor	16	10	Perhaps some one may think there is something unworthy of Timothy's courage in this piece of advice. But not on Timothy's account is this said, but for the hearers' sake: lest by their design against him they should hurt themselves: since he for his part had his station always in the way of dangers. For as a child serves a father, says he, so he served with me in furtherance of the Gospel. Philippians 2:22 But lest from boldness towards the disciple they should proceed also to the teacher, and become worse, he checks them from afar off, saying, that he may be with you without fear; that is, that none of those desperate persons rise up against him. For he intended perhaps to rebuke them about the things concerning which Paul also had written: and indeed Paul professed to send him for this very reason.

Phil	1	1	Paul and Timothy, servants of Christ Jesus, to all the saints in Christ Jesus which are at Philippi, fellow-Bishops and Deacons: Grace to you, and peace, from God our Father, and the Lord Jesus Christ. Here, as writing to those of equal honor, he does not set down his rank of Teacher, but another, and that a great one. And what is that? He calls himself a servant, and not an Apostle. For great truly is this rank too, and the sum of all good things, to be a servant of Christ, and not merely to be called so. The servant of Christ, this is truly a free man in respect to sin, and being a genuine servant, he is not a servant to any other, since he would not be Christ's servant, but by halves.
Phil	1	8	For God is my witness, how I long after you all in the tender mercies of Jesus Christ. And this I pray, that your love may abound yet more and more in knowledge and all discernment; that you may approve the things that are excellent; that you may be sincere and void of offense unto the day of Christ; being filled with the fruits of righteousness, which are through Jesus Christ, unto the glory and praise of God. He calls not God to witness as though he should be doubted, but does this from his great affection, and his exceeding persuasion and confidence; for after saying that they had fellowship with him, he adds this also, in the tender mercies of Christ, lest they should think that his longing for them was for this cause, and not simply for their own sake.
Phil	1	18	And therein I rejoice, yea, and will rejoice. For I know that this shall turn to my salvation through your supplication, and the supply of the Spirit of Jesus Christ, according to my earnest expectation and hope, that in nothing shall I be put to shame, but that with all boldness, as always, so now also Christ shall be magnified in my body, whether by life, or by death. None of the grievous things which are in this present life can fix their fangs upon that lofty soul, which is truly philosophic, neither enmity, nor accusations, nor slanders, nor dangers, nor plots. It flies for refuge as it were to a mighty fortress, securely defended there against all that attack it from this lower earth.
Phil	1	22	Then what I shall choose I know not. But I am in a strait between the two, having the desire to depart and be with Christ; which is very far better: yet to abide in the flesh is more needful for your sake. And having this confidence, I know that I shall abide, yea and abide with you all, for your progress and joy in the faith; that your glorying may abound in Jesus Christ in me, through my presence with you again. Nothing can be more blessed than the spirit of Paul, for the reason that nothing is more noble. We all shudder at death, I am wont to say, some by reason of our many sins, of whom I too am one, others from love of life, and cowardice, of whom may I never be one; for they who are subject to this fear are mere animals.
Phil	2	1	If there is therefore any comfort in Christ, if any consolation of love, if any fellowship of the Spirit, if any tender mercies and compassions, fulfil ye my joy, that you be of the same mind, having the same love, being of one accord, of one mind; doing nothing through faction or through vainglory; but in lowliness of mind, each counting other better than himself; not looking each of you to his own things, but each of you also to the things of others. There is nothing better, there is nothing more affectionate, than a spiritual teacher; such an one surpasses the kindness of any natural father. Do but consider, how this blessed one entreats the Philippians concerning the things which were to their own advantage.
Phil	2	5	Have this mind in you, which was also in Christ Jesus: who, being in the form of God, counted it not a prize to be on an equality with God, but emptied Himself, taking the form of a servant, being made in the likeness of men; and being found in fashion as a man, He humbled Himself, becoming obedient even unto death, yea, the death of the cross. Our Lord Jesus Christ, when exhorting His disciples to great actions, places before them Himself, and the Father, and the Prophets, as examples. Nothing rouses a great and philosophic soul to the performance of good works, so much as learning that in this it is likened to God. What encouragement is equal to this? None.
Phil	2	5	Have this mind in you which was also in Christ Jesus: who, being in the form of God, counted it not a prize to be on an equality with God; but emptied Himself, taking upon Him the form of a servant, being made in the likeness of men. Since many men think, that, when they are lowly, they are deprived of their proper right, and debased, Paul, to take away this fear, and to show that we must not be affected thus, says that God, the only begotten, who was in the form of God, who was no whit inferior to the Father, who was equal to Him, counted it not a prize to be on an equality with God. He was not afraid that any would strip Him of that nature, wherefore He laid it aside, being confident that He should take it up again.
Phil	2	12	So then, my beloved, even as you have always obeyed, not as in my presence only, but now much more in my absence, work out your own salvation with fear and trembling; for it is God which works in you both to will and to work for His good pleasure. The admonitions which we give ought to be accompanied with commendations; for thus they become even welcome, when we refer those whom we admonish to that measure of zeal which they have themselves exhibited. He did not say simply be obedient, but first commended them: it is not other men, but your own selves, whom I bid you take example by. And why, much more in my absence? You seemed perhaps to be doing everything from respect to me, but if you strive more earnestly now, it is evident that even then you acted for God's sake.
Phil	2	19	But I hope in the Lord Jesus to send Timothy shortly unto you, that I also may be of good comfort, when I know your state. For I have no man likeminded, who will care truly for your state. For they all seek their own, not the things of Jesus Christ. See then how he refers everything to Christ, even the mission of Timothy. I wish to learn of your affairs; for this is the part of a soul which has a care of others, which takes thought for them, which is always wrestling for them. At the same time too, he honors them by sending Timothy. What do you say? Do you send Timothy? And wherefore? Because I have no one likeminded; that is, none of those whose care is like mine, none who will care truly for you.
Phil	3	1	Finally, my brethren, rejoice in the Lord. To write the same things to you, to me indeed is not irksome, but for you it is safe. Beware of the dogs, beware of the evil workers, beware of the concision. For we are the circumcision, who worship God in the spirit, and glory in Christ Jesus, and have no confidence in the flesh. Dejection and care, whenever they strain the soul beyond due measure, bereave it of its native force. Therefore Paul relieves the Philippians, who were in great despondency. You no longer have cause for despondency. You have Epaphroditus; you have Timothy; I am myself coming to you; the Gospel is gaining ground. What is henceforth wanting to you? Rejoice!
Phil	3	7	Howbeit what things were gain to me, these have I counted loss for Christ. Yea verily, and I counted all things to be loss for the excellency of the knowledge of Christ Jesus my Lord: for whom I suffered the loss of all things, and do count them but dung, that I may gain Christ and be found in Him. The heretics say that the Law is called dung by Paul, it is called loss. But these very words are favorable to the Law. He said not, The Law is loss: but I counted it loss. But when he spoke of gain, he said not, I counted them, but they were gain. But when he spoke of loss he said, I counted; for the former was naturally so, but the latter became so, from his own opinion.
Phil	3	13	Brethren, I count not myself yet to have apprehended: but one thing I do, forgetting the things which are behind, and stretching forward to the things which are before, I press on toward the goal unto the prize of the high calling of God in Christ Jesus. Nothing so renders our real excellences vain as to be remembering the good deeds we have done; for this produces two evils, it both renders us remiss, and raises us to haughtiness. He who thinks that all is accomplished, and that nothing is wanting to him for the perfecting of virtue, may cease running, as having apprehended all. But he who thinks that he is still distant from the goal, will never cease running. If Paul, after ten thousand deaths, after so many dangers, considered this, how much more should we?
Phil	3	18	For many walk, of whom I told you often, and now tell you even weeping, that they are the enemies of the cross of Christ: whose end is perdition, whose god is the belly, and whose glory is in their shame, who mind earthly things. Nothing is so incongruous in a Christian, and foreign to his character, as to seek ease and rest; and to be engrossed with the present life is foreign to our profession and enlistment. Your Master was crucified, and do you seek ease? Your Master was pierced with nails, and do you live delicately? Do these things become a noble soldier? For the cross belongs to a soul at its post for the fight, longing to die, seeking nothing like ease, while their conduct is of the contrary sort.
Phil	4	4	Rejoice in the Lord always: again I will say, Rejoice. Let your forbearance be known unto all men. The Lord is at hand. In nothing be anxious; but in everything by prayer and supplication with thanksgiving let your requests be made known unto God. And the peace of God, which passes all understanding, shall guard your hearts and your thoughts through Christ Jesus. Since they were afflicted by their sufferings, therefore he says, Rejoice in the Lord. He who is in God rejoices always. Yea though he be afflicted, yea whatever he may suffer, such a man always rejoices. If scourging and bonds, which seem to be the most grievous of all things, bring forth joy, what else will be able to produce grief in us?
Phil	4	10	But I rejoice in the Lord greatly, that now at length you have revived your thought for me; wherein ye did indeed take thought, but you lacked opportunity. Not that I speak in respect of want: for I have learned, in whatsoever state I am, therein to be content. I know how to be abased, and I know also how to abound: in everything and in all things have I learned the secret both to be filled and to be hungry, both to abound and to be in want. I can do all things in him that strengthens me. I have ofttimes said, that almsgiving has been introduced not for the sake of the receivers, but of the givers, for the latter are they which make the greatest gain. And this Paul shows here also.
